@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
31.2788,6.59352,5.28893,2.65989,8.89487,14.9544,12.6123,5.67857,2.89356,3.91403,5.23104,36.1234,4.94863,3.61353,5.90024,6.58485,6.10877,6.86078,5.72818,8.65026,6.13928,9.34208,19.2088,13.6654,12.35,10.0034,5.32395,3.80054,5.46828,5.31225,8.14184,6.45654,10.269,bump
42.077,4.24523,5.05497,5.82176,6.81923,11.8281,7.02983,5.21617,3.8099,4.0128,4.08497,45.7837,5.49196,3.9143,3.91252,4.45673,4.69148,4.7036,4.1875,7.00001,6.24221,9.61603,35.2605,11.8143,7.86926,4.8828,4.21861,3.1195,4.1554,5.6639,7.67604,7.9524,7.38734,bump
41.2572,1.76828,0.246234,0.633026,6.84921,30.8688,1.9418,0.459654,0.649364,0.919875,14.4067,25.5344,3.81662,5.66734,7.25409,12.9831,11.3902,22.1465,7.43668,1.38258,0.656161,1.73227,7.78363,0.703673,1.11663,9.61991,23.616,12.6017,27.772,9.84684,3.57685,2.3479,1.01489,bump
25.4469,1.97911,0.268358,0.198217,4.58746,37.1574,6.02522,0.428965,0.167111,2.02227,21.719,12.1872,1.81653,3.11685,7.66612,16.9803,30.1845,16.9687,6.2104,2.77512,1.35887,0.73534,6.29619,1.03443,4.69244,12.6032,19.9476,10.947,31.261,7.03292,4.6531,1.45385,0.0783874,bump
81.6306,0.842292,1.01614,2.75674,3.17554,3.94662,1.98964,1.45874,1.23308,1.22311,0.72752,83.2945,1.73329,1.75756,0.864094,1.37734,1.80364,1.11909,1.69734,0.993163,1.69478,3.66519,62.448,2.86567,3.47509,2.51618,2.45328,3.58604,2.64096,4.28295,3.72286,4.73619,7.27273,bump
37.622,0.18532,0,0.240941,1.08498,57.3256,0.411388,0.0223012,0.212682,1.37309,1.52176,36.102,2.84699,0.302467,0.202966,4.36554,45.8233,8.60447,0.259317,0.119222,0.360741,1.01299,10.8612,0.152536,0.310401,1.24462,6.53194,68.3707,7.58151,2.71232,0.376905,0.502374,1.35544,bump
87.5262,1.21361,0.849075,0.758894,1.87543,2.5496,2.11942,0.986156,0.577728,0.666003,0.877926,87.8768,1.30188,1.00015,0.964018,1.02347,1.21726,1.1157,1.17673,1.59563,1.26869,1.45964,76.4888,3.4121,2.83199,3.17907,2.84633,1.47873,2.0985,2.56437,2.11702,1.9967,0.986362,bump
70.9534,0.232608,0,0,0.8073,14.6368,0.9133,0.0577051,0,0.870846,11.528,58.1994,0.28571,0.956094,0.947648,2.38618,13.0653,17.6269,3.41667,2.88274,0.0989945,0.13436,38.9132,0.0189801,0.780259,3.31735,14.4367,23.9993,13.9349,2.80174,1.79755,0,0,bump
85.816,0.899115,0.350803,0.232362,1.04929,4.19351,2.56772,0.339689,0.471261,1.16665,2.91359,84.2419,1.2271,1.16867,1.22699,2.75861,2.85205,2.26416,1.67997,1.1757,0.83682,0.568049,65.5827,1.68479,2.89223,2.45366,5.99022,6.99744,5.01003,3.57127,2.63988,2.20884,0.968919,bump
48.6071,2.03484,2.23088,2.67144,5.32032,17.4473,6.82599,3.03738,6.63893,2.64799,2.5378,53.9698,3.28916,3.34412,4.12615,5.15088,7.34345,4.12783,2.99374,3.29198,3.73347,8.62947,43.7976,5.0313,4.6463,5.7022,5.58055,6.49142,5.05799,4.56311,5.12842,5.6306,8.37055,bump
40.8248,5.30887,4.74665,3.8492,4.75961,12.6552,5.16467,5.45316,6.02135,4.59417,6.6223,46.5735,6.45454,9.31785,5.72497,4.51042,4.47227,3.34261,3.52099,4.53412,5.28835,6.26038,23.8738,12.9024,11.7689,7.68012,3.57318,2.74254,6.46826,10.0727,8.1346,7.77072,5.01271,bump
97.0271,0.122195,0.122195,0,0,1.29796,0.167121,0.167121,0,0,1.09632,95.6324,0.167121,0,0.289316,0.24439,2.22024,0.334241,0.623557,0.24439,0,0.24439,83.2328,0,0.289316,0.366585,5.00062,9.63145,1.35703,0.122195,0,0,0,bump
52.4963,4.78848,4.82189,3.05536,4.91439,10.9396,4.11362,2.65126,4.81337,3.99945,3.40623,54.2109,5.01178,3.15384,4.67174,4.93969,4.34489,2.64268,3.71957,4.70436,4.78564,7.81496,33.5824,10.561,8.51516,6.88716,4.86024,5.23217,3.52897,4.85736,5.80732,6.45959,9.70858,bump
81.8879,0.995141,0.277682,0.829324,1.42314,6.61487,1.06293,0.503526,0.366859,1.06952,4.96916,80.2451,0.403439,1.15549,1.28737,2.39117,7.95654,2.21463,0.943711,0.931691,0.659732,1.81108,62.9425,0.678151,1.61542,1.88796,4.9129,14.6126,6.25018,2.17449,1.22735,2.05505,1.64337,bump
72.9919,1.56011,2.53267,2.76119,3.60564,4.97051,3.12542,2.25,2.22313,1.5813,2.39815,74.4316,2.55706,2.48245,2.50896,2.14343,2.12778,2.6194,2.35543,2.43091,2.69713,3.64584,64.3113,4.9325,3.89597,2.5738,2.02931,1.50661,2.05326,2.56184,3.90298,5.47907,6.75334,bump
32.0455,1.18312,1.07327,1.54903,6.42353,37.9807,10.7513,0.42576,0.0676819,1.74943,6.75066,30.5267,1.05735,2.50418,8.81629,14.4037,22.677,11.8986,3.92972,1.86672,1.39763,0.922161,12.6746,1.11383,1.39861,7.14936,23.7376,14.9046,20.0848,11.2981,2.6285,3.3848,1.62512,bump
41.5905,3.47482,2.11969,0.881418,2.79949,28.6451,3.64994,2.77943,0.507132,1.23177,12.3207,28.0191,1.93248,3.49477,4.24306,12.4007,24.1742,13.2539,2.83753,2.18769,1.9486,5.50793,10.7417,3.8117,5.2183,7.891,25.8369,24.7293,15.1636,3.76076,2.20503,0.418983,0.222741,bump
36.8951,3.3484,1.1989,2.18314,7.08717,21.6166,6.55244,1.87683,2.38525,4.55592,12.3003,33.158,4.11844,4.5302,6.74108,7.59439,10.1508,9.70228,7.79394,5.60455,4.74598,5.86036,14.6387,3.42899,6.75049,11.7957,12.7516,9.83018,12.45,10.4299,10.8792,4.05178,2.99341,bump
44.4182,1.30786,0.668742,0.752661,5.77061,27.5251,4.36663,0.927351,0.740789,2.44217,11.0798,39.1292,1.79601,1.46608,6.47811,9.4704,17.6606,8.64208,4.65473,3.41469,2.64343,4.64466,28.3268,1.60449,1.57579,6.36085,16.7227,15.7293,16.3923,7.0081,3.11291,2.63144,0.535351,bump
84.7897,0.706236,0.0460874,0,0.465428,8.07052,1.46032,0,0.0200351,0.567164,3.87447,82.9563,1.06197,0.988728,0.714334,0.956511,6.89762,1.35122,0.948981,0.60732,0.25517,3.2619,64.7778,2.11965,1.82782,1.5388,6.0767,8.24505,5.33995,2.23027,1.53648,2.14901,4.15842,bump
56.1365,3.01711,2.33743,2.85404,4.68459,8.06188,6.31757,4.22101,4.01016,4.58507,3.77462,57.5242,4.72276,4.18689,4.08959,3.07748,3.42483,3.56797,4.49053,3.23866,4.49936,7.17771,36.2155,9.17819,8.41375,7.27037,5.24963,2.55974,3.82795,5.25671,5.76461,8.5792,7.68432,bump
31.8978,3.4047,2.85966,4.00323,6.60944,11.7618,14.106,12.0124,6.55801,3.05413,3.73288,37.1072,7.50877,7.62147,6.70129,6.21108,6.11327,5.15981,5.43108,5.68268,4.93667,7.52669,21.2549,18.9714,14.6884,8.5171,5.57072,2.66033,3.13352,4.46966,5.6621,7.72573,7.3461,bump
32.7221,4.91271,2.05193,2.92552,7.28436,22.7788,10.9017,4.93957,3.23198,3.44113,4.81018,33.6082,4.9319,6.19101,5.74583,8.58588,9.37729,7.90399,5.28711,6.03924,5.28796,7.04166,17.7349,8.4948,9.45919,11.7988,13.0841,5.96387,8.8244,8.17761,6.10637,6.18731,4.16868,bump
78.2642,1.99007,0.323434,1.19661,2.93359,7.60627,2.92778,0.937679,0.675311,1.60822,1.53681,77.9317,1.76884,1.6669,0.482503,3.04759,4.11469,1.76786,0.58557,1.6425,2.75488,4.23701,58.8846,3.59855,2.66595,6.18877,5.95323,4.14553,5.47825,4.66802,2.92541,3.76952,1.7222,bump
22.2659,6.79962,2.54432,3.03144,7.16587,17.5225,16.5982,7.38333,4.3694,5.64068,6.6788,22.3389,7.70322,6.06436,6.48113,7.44525,6.40923,9.41553,7.75277,9.209,6.54712,10.6335,6.7358,7.11583,19.3281,13.6232,12.5659,3.8538,5.97966,6.70136,8.86133,6.92023,8.31479,bump
39.0781,4.44863,2.65533,0.65101,1.33553,35.6608,2.61444,0.725681,0.894724,3.44669,8.48898,27.4227,3.03493,3.45988,4.23547,10.6422,28.3365,8.12138,5.35271,1.88312,3.51114,3.99999,13.8202,2.44224,2.91992,5.37431,13.9435,39.9223,9.94252,5.0592,1.73371,1.93071,2.91137,bump
63.2169,2.9587,2.37742,2.85425,5.92682,6.38403,2.28057,0.750648,0.940196,4.6305,7.67997,63.7618,6.38363,2.41387,2.29113,6.26548,3.97385,1.94797,3.7532,1.50414,2.7021,5.00285,27.9161,3.2713,9.10468,4.36805,6.73996,11.3044,12.2589,6.53011,6.71419,6.28385,5.50851,bump
55.044,0.209951,0,0,0.0755571,16.4656,0.0562853,0,0,0.10865,28.04,50.3798,0.762332,0.0681509,0.13277,1.76409,30.6435,12.3435,0.0948288,0.0948288,3.69698,0.0192718,6.81537,0.115631,0.324052,3.64931,9.15056,65.9694,12.6883,0.359393,0.569589,0.325745,0.0326463,bump
42.0848,2.77064,2.65253,2.22633,3.16258,23.3022,3.41101,2.66212,1.80968,2.94531,12.9728,36.7206,2.32215,2.65897,2.99051,7.30303,17.1555,13.7922,3.09636,3.24507,2.96395,7.75161,17.5269,3.47162,3.91068,5.63453,17.2256,20.7265,17.1008,4.69892,3.18838,3.4225,3.09367,bump
47.4152,3.38643,3.12522,2.70996,4.43491,16.2696,4.32482,2.93829,1.83416,3.35634,10.205,47.0874,2.68759,3.22119,4.32082,6.64167,10.6942,8.08144,3.72264,3.31944,3.8661,6.35744,28.5993,3.33406,4.06734,7.35437,11.0139,10.2539,13.9397,6.05411,6.50729,4.05025,4.82582,bump
74.6905,0.579503,0.0859429,0.126323,1.4352,13.3101,1.31118,0.347338,0.185988,0.849057,7.07887,68.274,0.210551,1.99367,3.19129,5.54151,10.0241,6.25002,2.33096,1.61218,0.283543,0.288191,53.5034,0.548541,2.55704,5.84804,8.80601,12.6478,9.55498,3.96715,1.80556,0.627903,0.133612,bump
45.1168,5.21526,8.14587,1.06809,6.55517,10.3813,4.09074,4.22013,2.49935,5.29995,7.40742,48.6567,3.41417,3.47001,2.96123,4.67574,7.13539,4.5792,3.25035,5.57827,4.81536,11.4636,25.0482,6.57312,6.42843,6.66465,6.38596,3.52401,4.95743,10.1795,13.1563,9.54222,7.54016,bump
36.6703,3.61693,1.86755,2.52135,4.85211,21.8677,6.60455,3.33938,2.32901,4.28421,12.047,25.6899,4.81551,5.52012,8.26457,10.5721,11.8959,11.7418,8.12479,5.30795,4.91391,3.15343,12.234,4.99774,10.7784,9.49008,14.8941,7.10175,11.4312,8.58691,8.66308,7.50595,4.31674,bump
