@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
0,0,0,0,0.0686384,99.9313,0,0,0,0,0,0,0,0,0.0281824,10.9177,81.2437,7.65889,0.151458,0,0,0,0.0138845,0.0809143,0.30113,1.55544,27.4401,60.9135,8.73294,0.695785,0.181995,0.0658199,0.0184822,flat
0.69201,0.751173,1.45049,2.05633,6.50979,69.0741,13.3837,4.87833,0.693295,0.311694,0.199052,5.7806,4.57861,6.69046,17.9762,22.3224,17.8279,8.0349,4.14024,3.31361,3.71325,5.62178,2.92087,5.44202,4.99196,11.5424,25.5824,22.7216,14.1134,6.64293,3.28294,1.80814,0.951343,flat
4.45707,1.51221,2.74933,3.75275,6.12959,25.3752,19.6932,20.1849,11.1415,2.80966,2.19457,10.5074,7.23676,5.8717,6.11213,7.58555,10.0536,10.5496,11.1727,10.1789,8.96891,11.7628,11.5358,14.3089,15.1966,12.1133,10.1758,4.09037,5.05348,3.62026,3.79391,6.87705,13.2346,flat
0,0,0,0,6.72606e-05,99.9998,0,0,0,0,0,0,0,0,0.00339617,1.50887,90.0696,8.41803,0,0,0,0,0.033533,0.100106,0.283739,1.58763,35.5824,50.4878,9.58404,1.66694,0.44725,0.192259,0.0342262,flat
0,0,0,0,3.32767,48.3407,46.4794,1.85225,0,0,0,0.000211006,1.77474,7.08998,11.8186,15.3211,26.3462,16.3062,11.0074,9.39546,0.940119,0,0.0277454,0.439862,16.153,26.7618,30.5478,12.9358,8.12248,4.36111,0.62158,0.0222451,0.00645212,flat
0,0,0,0,0.0523253,99.9476,0,0,0,0,0,0,0,0,0.0016835,17.1991,77.5776,5.22148,0.000153775,0,0,0,0.0534085,0.153254,0.45504,2.23275,27.0035,53.184,15.6528,0.869103,0.249875,0.111573,0.0348077,flat
0,0,0,0,10.1781,89.5992,0.222781,0,0,0,0,0,0,0.039442,1.50522,8.26955,44.8039,33.6852,11.6611,0.035632,0,0,0.019358,0.0543438,0.152295,0.889387,15.6283,33.2184,42.2801,7.13136,0.463791,0.115594,0.0469776,flat
0,0,0,0,2.84615,95.7839,1.37005,0,0,0,0,0,0,0,0.97948,21.9666,60.7928,15.5972,0.663671,0.000317032,0,0,0.0269674,0.125862,0.409183,2.75223,30.4838,29.3925,31.9286,4.61966,0.199932,0.0478436,0.0135036,flat
0,0,0,4.80503,39.9285,46.5336,8.7039,0.0289206,0,0,0,0.917264,10.8496,10.5324,11.1749,18.281,23.4741,13.6722,6.07933,3.56854,1.39347,0.0572141,0.0332699,0.105944,1.12113,6.55818,16.4364,13.1501,14.4579,15.7159,26.8882,5.40624,0.126812,flat
0,8.16402e-05,0.039218,0.188767,0.0985203,99.1623,0.510961,0.000215102,0,0,0,0.118485,0.113747,0.0529884,0.279748,10.5966,77.0278,11.7797,0.0202892,0.00501739,0.00382651,0.00188608,0.012639,0.047815,0.14946,0.929203,19.7881,69.6838,7.77828,1.04206,0.326841,0.212086,0.0298183,flat
0,0,0,0,0.452781,92.5882,6.95902,0,0,0,0,0,0,0,0.829962,9.4684,56.5538,28.5106,4.63716,0,0,0,0.00900234,0.0521068,0.249961,3.73286,48.5564,28.4519,17.25,1.21823,0.324618,0.120704,0.034239,flat
0,0,0,0,0,99.9391,0.060911,0,0,0,0,0,0,0,0,5.7729,91.251,2.97566,0.000246458,0,0,0,0.0697302,0.178621,0.505811,1.62547,42.6313,46.2437,7.00577,1.14697,0.359196,0.188007,0.0454816,flat
0,4.71292e-05,0.0324022,0.0434598,0.0739011,98.6435,1.20643,0,0,0,0,0.0753486,0.0540592,0.0112943,0.441327,42.1335,51.382,5.84569,0.0557092,0.000683963,0.000341749,0,0.0253214,0.165583,0.397672,1.88877,39.8051,54.2319,3.05023,0.27448,0.105204,0.0432109,0.0123316,flat
