@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data

77.9322,0.77229,0.873937,2.3549,3.39587,5.09251,3.19889,2.17669,1.7163,1.15411,1.3323,80.5114,2.79803,1.20482,1.18437,1.27819,1.69347,1.30951,1.77312,1.70896,3.01381,3.52434,75.6887,3.5733,2.70186,2.03666,1.33657,1.2906,1.72044,1.7108,2.72415,2.59346,4.62344,bump
8.37166,6.15474,6.31021,8.23543,12.155,18.873,11.8876,8.39083,7.51057,6.46734,5.64363,16.7294,9.76122,7.20157,7.31606,6.58458,6.30696,6.3143,7.30359,7.66324,10.4541,14.3651,14.2107,12.3795,10.1601,7.2635,3.78879,1.35894,5.28884,8.81325,10.8814,12.1251,13.7299,bump
8.27327,5.00793,4.2056,7.03246,15.2523,27.5497,11.5072,4.95496,3.8833,5.91128,6.42197,12.366,8.28561,8.08822,9.00037,8.93422,9.67329,10.4526,9.23695,7.43363,7.46153,9.0675,3.38539,7.74092,11.2436,11.7922,9.43046,3.26794,10.6752,14.8777,11.3931,9.50813,6.6853,bump
3.41995,2.71175,5.30501,9.14354,16.7187,26.1086,17.0841,8.93622,5.07349,3.04936,2.44931,12.8523,9.01234,7.67913,8.03204,7.16309,7.26931,7.26502,7.94774,10.125,9.3809,13.2732,13.0831,11.2062,11.2271,10.2524,5.46248,1.19654,5.30231,8.54834,10.6867,11.2709,11.7638,bump
4.78492,5.46518,5.60076,6.64219,14.4299,23.0278,15.6301,8.23785,5.39733,4.73292,6.05111,7.23796,6.41059,6.87055,7.39277,8.18795,8.85613,9.17062,9.00048,8.61346,10.1393,18.1202,13.4674,14.1984,13.4554,12.6026,6.35376,1.2875,6.4129,9.64622,10.1682,7.48789,4.9197,bump
6.30199,5.49151,6.55126,6.93384,10.4219,19.4027,15.8305,11.3808,8.11574,5.30569,4.26413,12.1561,8.64237,7.39545,6.76186,6.76712,7.33786,8.18321,8.47758,10.0536,11.368,12.8568,23.1039,17.0517,11.3342,6.95538,3.27093,0.807871,2.63233,4.49668,6.16036,9.80662,14.38,bump
14.1586,4.15164,6.5244,0.0693438,8.79437,29.6446,9.1144,7.20971,4.85968,4.88138,10.5919,13.9211,0.17288,1.55358,0.31482,3.46215,19.94,0.256766,8.09575,0.459698,3.51795,48.3053,1.64621,0.375517,0.371309,3.87166,22.7069,15.2425,7.74113,7.14199,12.0133,12.7603,16.1292,bump
31,11.5163,2.37582,6.1334,6.90709,15.7528,3.54212,1.86732,6.21328,10.3515,4.34046,31.7748,7.47849,3.83237,4.02511,7.08486,13.7072,12.4424,4.41576,6.40919,1.94547,6.88434,15.7596,16.9224,5.75684,4.40559,8.54718,7.68024,5.99077,5.6437,7.41642,16.9648,4.91242,bump
9.89652,7.58001,8.59188,6.22793,11.5716,24.069,19.5007,6.63493,2.84483,0.918478,2.16421,15.4447,4.27012,4.9798,7.05049,7.32517,5.65043,4.45374,4.65225,12.7654,12.2818,21.126,14.1699,12.4974,12.0197,13.1864,11.5494,3.97741,4.00499,6.53253,10.0043,7.38828,4.66963,bump
24.304,5.86849,2.87039,1.09494,6.71127,24.8281,9.99529,3.77399,2.60065,4.01644,13.9364,22.9146,5.42315,5.51731,8.0914,10.7102,13.3588,10.598,5.84283,5.42065,4.54966,7.57334,18.5785,9.13305,11.9458,8.5927,7.28863,4.11532,12.5261,11.6061,8.68271,4.17973,3.35141,bump
99.5537,0.00743748,0.0446249,0.00743748,0.0297499,0.104125,0.111562,0.0371874,0.0223124,0.0223124,0.0594999,99.7174,0.0892498,0.0892498,0.0223124,0.0223124,0.014875,0,0.0223124,0,0,0.0223124,99.5314,0.104125,0.0966873,0.0223124,0.00743748,0.0297499,0.0446249,0.0520624,0.0223124,0.0594999,0.0297499,bump
100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,bump
35.7889,5.48669,3.97581,5.32762,13.6947,15.5747,4.46166,1.65962,2.91101,5.72541,5.39378,43.3425,6.318,7.51178,6.41133,5.48615,6.78529,5.80225,4.16563,4.38949,4.32598,5.46163,32.0818,5.8804,4.50747,5.52513,5.48569,2.50532,8.30366,11.7429,12.4786,6.41085,5.07821,bump
22.2979,11.499,1.0309,5.8655,6.98554,16.548,15.7996,5.13986,1.18124,3.25738,10.3951,18.3666,4.26798,4.6102,1.70427,3.21411,11.4718,9.11666,5.97381,4.94248,14.729,21.6031,20.9984,10.4606,7.98785,8.56834,7.03793,4.98705,7.05862,10.158,7.10437,7.80243,7.83651,bump
10.0229,6.17221,6.38897,6.94876,10.1481,22.8191,11.6616,7.56945,4.82892,5.63674,7.80333,13.7461,9.30818,6.81477,6.68083,6.58511,7.23464,7.82256,7.46551,8.40164,11.2448,14.6959,13.5115,12.4707,10.2533,8.41867,6.08523,1.95097,6.02154,8.28147,9.26237,11.3666,12.3777,bump
21.8556,13.4077,2.82407,1.28,5.16102,23.3516,14.4621,4.45215,3.24131,5.28523,4.67918,22.8548,8.98514,11.0761,12.7219,7.83677,9.53737,6.75972,5.66805,7.29197,4.59723,2.67085,6.79201,13.102,22.5695,15.2165,10.9467,3.0146,5.48786,6.6389,7.97291,6.72652,1.53256,bump
