@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
30.3063,5.33926,4.3359,8.46841,4.22944,24.8893,4.95408,2.18293,1.63545,3.62437,10.0345,35.8179,7.24764,7.72229,12.3963,5.92867,13.9857,3.51745,5.35887,2.1407,2.8795,3.00494,18.41,4.42959,6.90389,9.91673,5.76199,3.40528,24.3149,10.0347,4.65308,6.85295,5.31683,bump
36.9327,5.15068,1.85448,4.68752,8.07584,18.2057,5.25765,2.27567,2.87111,8.51877,6.16997,41.9245,5.75956,11.079,6.23248,4.32284,2.94346,5.2904,6.60666,5.05664,4.84876,5.93571,14.082,4.4682,4.53485,6.83711,6.79554,6.37523,13.9334,13.5378,16.6771,8.74711,4.01161,bump
62.5907,3.69791,0.825153,2.49586,4.55509,11.0931,6.27993,3.55249,1.24206,1.48733,2.18043,71.2162,2.28735,2.25323,2.82879,3.12,3.76215,4.73284,2.14412,2.3579,1.2348,4.06259,46.8123,5.62405,7.34817,4.45662,5.65252,5.73297,5.72266,6.06053,5.94309,3.73941,2.90764,bump
28.8647,2.86263,4.98839,7.93919,10.9858,18.2179,9.82515,6.96645,4.4482,2.62896,2.27268,37.2529,7.29361,6.14478,6.08063,5.49492,5.5838,5.72208,5.43299,5.964,6.48591,8.54439,27.9218,9.5263,7.93936,5.81265,3.95663,2.26573,3.63297,6.32684,8.82495,10.9418,12.8509,bump
8.27173,2.46076,2.81963,3.49489,11.0022,34.2713,14.4418,4.75945,4.67134,7.05791,6.749,17.1333,6.27716,5.50106,7.11549,9.88532,11.8032,10.7086,7.46004,6.07078,6.56438,11.4808,9.41485,4.10802,6.66502,13.6068,14.3086,5.53677,11.768,11.1557,8.84817,5.96748,8.62059,bump
27.8151,3.70633,2.43604,2.53072,7.81792,31.8298,9.96211,2.81606,2.56907,3.02658,5.49021,30.5641,5.76062,5.25936,7.91907,9.29757,10.3641,10.2345,7.13659,3.5454,4.38413,5.53455,19.2141,5.85473,7.76401,11.1112,15.8291,5.15044,14.1309,9.23623,5.4773,3.69303,2.53899,bump
18.4053,3.31183,3.50289,6.0513,9.81551,21.6855,9.157,6.20941,5.47045,8.55077,7.84007,29.7782,7.76145,7.17956,6.30732,6.98338,7.82789,6.88168,5.56798,5.55418,5.42241,10.736,13.2937,7.74131,9.3729,8.39696,7.70504,3.86955,7.82604,8.05314,10.314,11.9511,11.4762,bump
54.9681,3.8812,1.96226,2.85073,5.88534,12.9593,5.80257,2.45128,2.77545,3.11861,3.34517,58.0901,4.23463,3.59894,3.82105,3.8765,5.10668,4.3816,2.77232,3.59494,4.42075,6.10252,39.2696,6.55098,7.22986,6.98983,5.66461,4.76691,4.93949,5.81004,6.34079,6.67172,5.76618,bump
52.6055,0.702358,1.6798,0.212673,1.39288,32.1118,7.1225,1.32537,0.0766413,0.306594,2.4639,54.8988,2.00325,1.37853,2.83396,3.00767,31.273,1.08909,1.15143,0.764293,0.665911,0.934048,32.9147,8.64987,3.94249,4.11903,7.15852,13.2852,15.6167,3.19053,2.96938,5.65416,2.49943,bump
75.4613,1.47768,1.95026,2.10635,3.45612,6.0456,2.7899,1.66166,1.63373,1.65114,1.76628,77.7901,2.28541,1.92115,1.85014,2.08074,1.9923,2.29892,1.97239,2.16655,2.41497,3.22733,72.0868,3.26197,2.70792,2.57438,1.81056,1.04908,1.93764,2.73149,3.53364,4.05405,4.25252,bump
