@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
77.2815,0.996044,1.44236,1.77827,3.74763,4.40813,2.82764,2.48975,2.74321,1.08482,1.20062,76.5271,2.09206,2.5233,0.140886,3.01619,2.98714,1.34075,2.28017,1.97533,3.8845,3.23261,40.746,9.13568,6.68453,8.41601,4.48686,3.56784,6.08231,7.49921,5.69377,3.39777,4.28999,bump
27.0097,1.3429,5.26731,3.40197,8.95784,14.9251,12.6034,16.4456,5.62529,1.74871,2.67214,33.1593,7.28459,4.96029,5.96898,5.13929,4.0599,4.23524,5.59629,10.1941,9.58679,9.81528,33.1676,12.4285,10.0118,7.75107,5.30563,2.80192,2.14765,4.75232,6.35493,6.60668,8.67192,bump
9.08486,4.95069,6.62917,8.6205,14.0683,21.671,14.4587,7.21998,4.07085,4.22268,5.00324,14.9901,9.63272,7.42794,7.25005,7.62677,6.79318,7.13335,7.10218,8.26396,9.91816,13.8616,15.8452,11.4091,10.2077,8.50972,5.28085,1.53262,5.33639,8.13187,9.95991,11.0408,12.7459,bump
19.0189,2.90782,5.17179,6.8646,19.232,29.7259,6.67275,1.8056,2.19042,2.59687,3.81336,26.4667,8.21638,9.12724,11.9038,11.4084,7.03209,5.47018,4.88206,5.33112,4.1064,6.0556,15.193,6.95318,6.1523,4.03158,4.70581,2.57648,9.25155,14.8728,17.5577,11.7874,6.91807,bump
50.0508,3.93974,1.65948,3.29245,8.4762,15.0864,8.9894,2.29292,1.31031,2.20901,2.69331,51.0537,3.51507,3.69329,4.33283,5.57396,6.73089,6.04607,5.03461,3.12562,4.26423,6.62973,30.3064,7.45046,8.71702,10.673,7.02223,4.03453,8.42559,8.61796,7.84425,4.93367,1.9749,bump
12.1365,3.11043,4.70944,10.1802,16.5587,26.8445,12.2026,5.72904,3.50836,2.76171,2.25866,25.8661,12.4107,9.34361,8.63008,7.33287,6.75218,6.10765,5.04293,6.12011,6.2274,6.16637,12.2058,9.12125,8.74392,8.79302,5.72695,1.81842,5.27234,10.5809,14.355,12.356,11.0265,bump
12.1251,6.58754,5.87053,7.3793,16.3565,23.0709,10.3153,4.46069,3.66071,4.64025,5.53323,15.1294,5.38518,6.75982,8.42093,7.52409,9.73788,8.66142,9.02686,8.36783,8.13296,12.8536,12.5736,9.16743,7.19785,6.66817,6.36615,2.55256,7.04896,13.6183,14.2915,9.70219,10.8133,bump
13.1591,5.19119,6.34581,8.42744,11.8478,17.7451,12.0224,8.8145,6.39164,5.05593,4.99916,21.1666,9.61511,7.58835,6.8813,6.62445,6.39212,6.34205,6.79938,7.49818,8.99012,12.1023,20.9891,12.9018,10.1336,6.71669,3.57635,1.0583,3.33064,6.47218,9.14395,11.9133,13.764,bump
20.8287,4.98232,6.08976,8.07776,10.6227,16.3258,14.1431,7.18808,5.62668,3.53194,2.58322,26.6673,9.11542,5.31838,4.92165,6.79013,6.77583,6.5602,5.99041,8.0072,8.57404,11.2794,13.1979,10.4154,12.4564,9.9637,5.52841,1.75549,4.38751,7.56062,8.19042,13.666,12.8781,bump
40.5986,5.09337,4.13232,4.6115,7.47894,13.1701,8.3024,5.31002,3.23106,3.60815,4.4636,43.93,6.6172,5.02498,5.31501,3.52306,3.45501,3.22915,4.56986,5.43315,6.99024,11.9124,29.3236,9.33917,10.8312,7.91453,4.98801,3.28253,4.3837,5.1104,7.20707,8.30107,9.3188,bump
