@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
35.306,1.88126,4.27828,6.14861,7.88137,18.4358,7.79238,9.14414,5.96228,1.32389,1.84598,40.1763,4.11794,3.52638,5.44201,5.91104,7.56559,4.62851,5.23231,4.99551,6.96389,11.4405,26.2484,12.2085,7.09823,10.7408,7.53184,4.80619,5.14454,5.50019,5.76852,8.37989,6.57287,bump
18.1178,4.71737,3.51384,5.27738,10.9604,26.5456,12.0456,5.15478,2.8674,4.06748,6.7324,22.9021,7.53273,5.96371,7.10912,7.50589,9.37053,8.00269,6.342,7.25988,8.50349,9.50785,15.2804,9.62291,10.7508,11.7295,8.95793,3.43601,9.2191,11.7411,8.69333,6.29914,4.26979,bump
35.268,2.90586,2.42559,2.66419,3.96523,20.0706,11.1458,7.25419,4.39345,3.15371,6.75339,34.8106,6.64618,7.58113,8.74127,8.2675,9.46185,6.35752,4.58712,3.94116,3.72104,5.88463,30.8664,15.5446,11.655,8.53969,5.40056,4.73155,4.19355,4.29487,4.27534,4.42229,6.07616,bump
31.1768,5.23412,3.72584,4.52978,6.99246,17.9266,10.3748,5.73556,4.59982,3.99005,5.71413,34.0577,6.43246,6.60453,5.23941,6.02586,6.29729,6.95055,5.40021,5.89685,7.08794,10.0071,23.7554,10.7309,11.2103,9.9031,7.52313,3.29081,5.70674,5.51429,6.99946,8.01408,7.35179,bump
8.27173,2.46076,2.81963,3.49489,11.0022,34.2713,14.4418,4.75945,4.67134,7.05791,6.749,17.1333,6.27716,5.50106,7.11549,9.88532,11.8032,10.7086,7.46004,6.07078,6.56438,11.4808,9.41485,4.10802,6.66502,13.6068,14.3086,5.53677,11.768,11.1557,8.84817,5.96748,8.62059,bump
27.8151,3.70633,2.43604,2.53072,7.81792,31.8298,9.96211,2.81606,2.56907,3.02658,5.49021,30.5641,5.76062,5.25936,7.91907,9.29757,10.3641,10.2345,7.13659,3.5454,4.38413,5.53455,19.2141,5.85473,7.76401,11.1112,15.8291,5.15044,14.1309,9.23623,5.4773,3.69303,2.53899,bump
22.9943,4.30599,4.08033,6.49807,13.5795,19.9992,5.85923,2.55157,2.92388,8.74769,8.46025,26.7706,6.01908,8.54093,8.57656,6.86934,8.40551,6.91466,6.82859,6.95098,6.64966,7.47409,17.3907,5.42124,4.74536,4.8661,3.84711,2.90134,4.69857,9.98616,14.4957,16.5968,15.051,bump
61.5506,2.45262,1.75549,1.22123,2.74438,14.2655,4.27613,3.15255,1.85096,1.98843,4.74216,57.6909,3.47085,3.65222,3.8071,4.26735,10.5248,3.32061,5.56071,2.91915,2.42456,2.3617,41.9248,12.0342,8.36675,4.26313,5.30318,6.44025,4.78097,3.96513,4.27008,4.15854,4.493,bump
63.4022,1.55143,2.42331,1.97137,4.0376,10.7943,5.93381,3.22635,2.28767,1.93581,2.43617,66.2648,4.66766,3.00321,2.45884,3.064,3.27175,3.15017,2.92751,2.44119,3.68137,5.06951,52.5402,5.33536,5.841,5.41337,4.86052,3.15902,5.09625,4.07769,4.58544,3.86815,5.22305,bump
22.3451,2.55731,3.94371,6.36134,7.0012,36.2484,4.56728,6.20714,4.96005,1.59927,4.20918,22.9595,2.4279,2.55856,2.36625,4.03078,23.0787,8.22182,3.79637,4.90962,4.32746,21.323,21.944,9.50964,6.57486,4.34781,4.1664,7.00453,5.50156,7.83917,8.55131,10.7778,13.7829,bump
36.3346,3.15834,1.51423,1.47996,9.96551,26.4921,8.96833,3.47112,2.37671,2.84915,3.38993,35.7464,4.0362,4.90301,6.81818,9.315,11.4236,8.75722,6.62015,4.57215,3.61391,4.19421,23.4667,8.1299,10.2264,11.2992,10.3999,4.99566,11.0281,8.6267,5.08872,3.82486,2.91386,bump
