@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
22.9943,4.30599,4.08033,6.49807,13.5795,19.9992,5.85923,2.55157,2.92388,8.74769,8.46025,26.7706,6.01908,8.54093,8.57656,6.86934,8.40551,6.91466,6.82859,6.95098,6.64966,7.47409,17.3907,5.42124,4.74536,4.8661,3.84711,2.90134,4.69857,9.98616,14.4957,16.5968,15.051,bump
18.4053,3.31183,3.50289,6.0513,9.81551,21.6855,9.157,6.20941,5.47045,8.55077,7.84007,29.7782,7.76145,7.17956,6.30732,6.98338,7.82789,6.88168,5.56798,5.55418,5.42241,10.736,13.2937,7.74131,9.3729,8.39696,7.70504,3.86955,7.82604,8.05314,10.314,11.9511,11.4762,bump
43.3805,3.22097,3.3495,3.29594,5.01707,14.9099,6.95455,3.30868,1.73629,2.68092,12.1456,39.9281,4.24985,5.16516,6.02959,7.34777,8.37803,8.37517,6.17368,4.49687,5.74793,4.10788,25.2902,9.59881,6.07549,5.70473,7.56123,4.97865,5.69624,6.82275,8.43898,10.0337,9.79927,bump
41.6635,4.27635,5.19532,3.62265,7.31668,16.7096,7.05878,2.39916,3.32413,3.97024,4.46359,46.0479,5.43001,4.75952,4.72738,4.82153,5.08877,5.17682,4.92264,4.53999,5.54388,8.94152,33.4963,5.3472,5.59862,7.91137,6.48495,3.63891,6.7331,7.90208,7.61132,7.37109,7.90511,bump
17.9046,3.50214,2.174,2.69846,12.6384,37.2108,7.5868,3.62871,2.53678,4.05345,6.06582,17.0494,4.816,5.86482,6.84812,11.2545,15.8438,13.4319,10.7067,5.88188,4.85109,3.45176,16.6736,7.55939,5.32907,5.25851,9.58915,5.66675,9.79252,10.444,8.69681,9.9152,11.075,bump
22.2739,5.75714,3.91679,2.63758,8.77706,26.7286,8.40954,5.23237,5.11615,5.43205,5.71878,25.5931,5.80427,6.1419,8.18177,9.71912,9.89765,9.48439,7.07707,5.28952,5.29445,7.51674,21.1851,10.4903,9.37007,9.11607,7.36854,3.77299,6.57029,7.45698,8.98525,7.84977,7.83462,bump
39.4003,5.06537,3.04357,5.66114,7.83962,15.7304,5.65094,2.89111,3.86165,3.08291,7.77299,40.6315,5.50197,4.22001,5.29021,4.96952,8.27937,7.24643,6.87855,4.316,5.7659,6.90056,28.1342,7.27601,7.14893,4.1581,2.73537,5.12811,5.03258,7.34094,8.94039,14.299,9.80639,bump
48.6419,0.864478,3.94685,3.44477,4.24922,21.1634,4.27072,4.16678,3.90969,1.16899,4.17313,56.0345,2.72415,2.19432,4.27663,5.09165,13.2548,2.24514,1.56907,3.55325,3.84246,5.21396,27.1496,8.53846,3.25977,2.07311,4.54923,12.4615,7.22525,6.99937,9.89659,9.10033,8.74679,bump
63.4022,1.55143,2.42331,1.97137,4.0376,10.7943,5.93381,3.22635,2.28767,1.93581,2.43617,66.2648,4.66766,3.00321,2.45884,3.064,3.27175,3.15017,2.92751,2.44119,3.68137,5.06951,52.5402,5.33536,5.841,5.41337,4.86052,3.15902,5.09625,4.07769,4.58544,3.86815,5.22305,bump
10.5999,3.45211,6.18229,9.01555,14.2057,26.24,10.6212,6.74253,5.01964,3.32644,4.59474,17.8193,7.2818,7.07055,6.99248,7.31267,8.08407,9.28693,7.1166,8.17178,9.77871,11.0851,10.8279,9.69357,8.93844,7.06625,5.16629,2.69069,5.20564,8.69688,10.9539,13.2323,17.5281,bump
