@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
22.1041,2.29174,0.0073709,0,5.61301,44.7049,4.02343,0,0.00426571,0.761175,20.49,0.0898207,0.85386,2.65191,10.7725,25.3222,30.1431,19.4411,7.54899,2.41539,0.717315,0.043728,0.0184361,0.714949,3.44916,11.6141,28.707,16.9211,24.8452,11.5863,1.95509,0.188498,0,flat
19.5931,4.42455,0.173211,0,3.97055,37.1682,9.46385,0.0284045,0.0829249,1.97341,23.1218,0.268403,0.817827,4.33203,11.5894,16.1247,23.2878,20.1189,12.9691,7.56124,2.52826,0.402312,0.111384,2.9622,7.12565,17.2075,21.6637,9.48763,23.0208,14.0392,3.79563,0.583162,0.00309202,flat
22.1152,2.26486,0,0.180474,7.88327,37.0403,4.98834,0,0.00694945,3.81081,21.7097,0.191312,1.9616,4.16635,11.7455,23.8592,24.8102,18.5438,8.60975,4.16984,1.48034,0.462152,0,0.165218,3.89124,15.8732,25.3719,8.9047,22.4633,14.9923,6.68156,1.65343,0.00311746,flat
22.6164,1.78172,0.00435951,0.194677,5.15867,38.1832,6.14578,0.011388,0.217896,2.14123,23.5447,0.324129,1.6459,3.02613,8.37668,19.6793,25.6399,23.2419,12.1061,4.69807,0.814772,0.447144,0.0278347,0.35465,3.13223,16.0095,24.2851,11.7235,26.5524,12.6314,4.4828,0.631206,0.169412,flat
24.2113,4.43384,0.990946,0.199097,3.51734,34.3003,10.5246,1.2431,0.170134,2.01176,18.3976,2.8052,3.85241,5.43104,11.2954,17.2275,21.6372,17.4908,9.25839,5.21234,3.74402,2.04567,0.744853,3.45955,8.69644,17.6193,26.0603,8.91238,19.5214,11.1699,2.60041,0.862668,0.352704,flat
19.0572,2.41865,0.020077,0.0940545,10.8135,33.1709,4.48903,0.287489,0,3.2366,26.4125,0.458036,2.72222,6.32991,13.6707,16.7301,19.7105,18.2737,12.7663,7.27818,1.98624,0.0740923,0.0548062,0.853294,4.0563,12.9748,18.6505,8.51668,22.695,25.1674,6.55073,0.420094,0.0604447,flat
20.6065,2.14381,0,0,10.2904,36.8539,4.14618,0,0,4.23711,21.7222,0.0507818,1.43537,4.07093,10.3131,19.8451,23.3864,22.1015,11.5179,5.6151,1.60894,0.0548969,0,0.239163,2.4441,12.282,23.5462,11.0159,24.5889,18.4608,7.31818,0.10468,0,flat
22.1462,2.99074,0.220099,0.00877171,4.09075,40.0306,4.79238,0,0,3.66731,22.0532,0.193381,1.02205,3.11703,8.39743,16.4901,24.787,25.978,13.0386,5.31065,1.55113,0.114627,0.0351821,1.64003,3.34264,11.3783,29.1225,14.3782,21.4644,12.5982,5.04714,0.907621,0.0858832,flat
20.2934,3.19347,0,0.421541,10.5081,34.6688,5.06632,0.0289675,0,3.59468,22.2247,0.0396618,2.42489,7.64006,13.9757,18.7697,18.9071,17.9886,12.5329,6.04507,1.67637,0,0.18629,0.464137,3.93916,17.8088,18.0786,7.72973,20.1865,23.5633,7.33764,0.705888,0,flat
15.7706,2.42329,0.657375,1.87305,6.44921,35.9221,5.48664,0.908103,1.95418,3.13693,25.4185,3.6808,2.5679,5.58438,13.6141,19.3596,18.2592,15.7344,10.1186,5.16876,2.30217,3.61015,1.38911,1.5221,3.50643,12.2023,19.0508,8.72441,24.7081,18.2221,5.56666,2.78786,2.32006,flat
16.5216,3.04966,0.077755,0.0905226,8.41143,35.131,6.29846,0.0350546,0.0194478,5.23871,25.1264,0.176828,2.25616,6.8994,13.4219,17.6106,20.643,18.0704,13.2948,5.56563,1.85369,0.207569,0.109514,0.471571,4.26329,14.7565,18.2745,9.15348,19.0851,23.0989,9.26696,1.47642,0.0438037,flat
23.7085,1.58646,0,0.0186345,3.40227,42.6272,2.9908,0.0463128,0,0.989261,24.6306,0.04553,0.277761,3.93392,11.7457,25.075,28.0131,18.0496,8.80287,3.63856,0.413846,0.00417672,0,0.144317,2.69495,10.8499,25.7812,17.0244,27.8832,13.2061,2.33122,0.0846467,0,flat
21.1385,4.66723,0.0942439,0.160939,4.7223,36.8034,8.47534,0.364633,0.286145,1.8995,21.3877,1.4373,2.10958,4.27582,10.0675,18.5403,24.8215,18.7219,10.7022,5.19166,3.38115,0.751083,0.172511,1.49105,8.98991,14.3363,22.9926,12.5287,23.5388,11.2177,3.66167,0.862258,0.208535,flat
24.9306,0.771737,0,0,2.81093,42.3261,4.76564,0,0,1.06939,23.3257,0.0264221,0.339111,2.95378,10.1513,22.7454,26.9719,22.9261,10.3638,2.84574,0.668898,0.00753503,0,0.148062,3.51333,14.5108,28.4754,13.0529,27.528,9.52626,2.55099,0.678031,0.016375,flat
17.8592,2.37256,0,0.0701428,7.78955,36.1257,5.91717,0,0,2.4372,27.4285,0,0.626635,4.23089,9.41605,23.334,26.4618,18.0486,12.7092,4.4467,0.708922,0.0171748,0.00648476,0.0975016,2.18904,13.1203,22.8313,10.3933,29.5513,18.4228,3.22218,0.163954,0.00186035,flat
23.1459,6.95871,0.185107,0,3.60132,34.9538,11.0528,0.0384083,0,2.95517,17.1088,0.376996,2.14079,6.07261,12.9631,18.2609,20.2804,18.4278,10.114,6.51465,3.40437,1.44435,0.0812882,1.87388,14.5826,20.5476,23.3354,7.3498,16.6853,10.7113,4.47834,0.345764,0.00873592,flat
21.273,1.12274,0,0.0277559,4.84265,37.6314,6.91401,0.0827472,0,1.66375,26.442,0.0107077,0.61453,3.76186,11.7679,21.1222,24.7727,21.4026,10.8754,4.79842,0.849424,0.0243834,0,0.341539,3.80123,17.7862,22.6814,9.38483,24.6405,16.3723,4.57938,0.412613,0,flat
25.6005,0.814364,0,0,3.30226,43.9906,5.23434,0.00822564,0,0.799645,20.2502,0,0.209555,3.37757,7.81974,19.4357,29.6956,26.101,9.98491,3.17122,0.16716,0.0376505,0,0.144301,2.12723,15.6798,28.5202,13.6997,23.5844,14.8068,1.32833,0.109233,0,flat
22.7319,3.4375,0.0202055,0.00345302,7.98581,34.7939,6.57131,0.024445,0.0102825,3.92116,20.5001,0.0635289,1.41855,6.97996,14.4382,18.2824,21.5808,16.2972,12.209,5.99659,2.63229,0.101542,0.368055,0.819911,4.9611,17.2912,22.7996,7.77805,22.1631,16.3371,5.91406,1.4534,0.114412,flat
22.7403,5.25412,0,0,4.76364,35.4603,8.31837,0.0810579,0,2.13545,21.2468,0.458791,2.39631,4.89295,13.8806,16.0871,20.1915,21.7233,13.0034,5.86961,1.49627,0,0.129502,0.902893,9.10637,19.3369,20.9587,7.60198,22.8988,15.4755,2.84843,0.673831,0.0671251,flat
20.2943,3.49252,0.0985539,0,9.20609,34.4044,5.55887,0.0026919,0,4.76721,22.1753,0.159509,2.12554,6.24554,10.412,17.8756,20.7675,20.2747,13.2399,6.3457,2.49884,0.0552184,0.00451913,0.780487,4.67559,17.6661,18.3201,7.39908,20.2638,19.7688,9.03865,1.74233,0.340537,flat
22.2912,2.33621,0.0116132,0,4.54798,37.3047,7.69055,0.156229,0,1.53577,24.1258,0.103434,1.09147,6.01897,11.0571,18.4766,25.343,21.5967,10.0046,4.96519,1.22756,0.115276,0,0.459002,4.92041,14.6678,24.7699,13.9903,26.2717,11.1975,3.42111,0.232143,0.0701594,flat
25.6975,0.804457,0.0131384,0.00226467,4.09793,41.7622,3.03784,0.0485766,0.00242934,0.99697,23.5367,0.00895321,0.675054,2.12407,9.36913,21.8232,31.2378,22.6845,9.17634,1.90303,0.668398,0.329435,0,0.181697,1.73122,12.024,28.7604,14.1363,27.1982,13.3627,2.2638,0.339603,0.00215235,flat
23.5999,2.77508,0.0625247,0.212953,4.91983,35.1515,9.41222,0.0418185,0.0734173,2.5669,21.1839,0.131737,1.05683,4.19941,10.505,20.8887,22.9459,22.0875,11.3712,4.92253,1.19925,0.691931,0.00521413,0.676187,7.50131,17.3946,23.014,8.95908,23.732,13.6957,4.17743,0.71284,0.131577,flat
21.9217,2.05019,0,0.00201866,8.94422,36.6807,5.28224,0,0,2.58805,22.5309,0,0.996518,4.99054,9.26075,16.4198,24.5597,21.9332,12.1943,6.7117,2.8197,0.113783,0,0.612536,2.68892,15.2454,23.2171,8.5162,27.9864,16.9338,4.37472,0.422504,0.00241763,flat
25.7799,0.949545,0,0.00193073,3.21906,41.7356,4.76836,0.00362147,0,0.919734,22.6222,0,0.504944,3.52814,12.3962,24.6969,29.9026,19.7152,7.95018,1.22221,0.0836748,0,0,0.0750258,1.2326,13.0766,31.6453,13.1,29.1643,10.2541,1.37758,0.0684676,0.00598439,flat
21.9713,3.04487,0.0945792,0.133942,7.47577,33.9336,7.62206,0.255379,0.189042,3.31683,21.9627,0.530745,2.33035,4.48499,9.92604,20.173,25.2486,17.6605,11.202,5.85107,1.9092,0.68343,0.420604,1.58077,5.15468,15.348,20.95,7.88574,21.3567,19.4138,5.71701,1.79259,0.380148,flat
18.4338,3.6817,0.0615109,0.00338328,6.36179,37.4517,6.63731,0.279215,0,2.75697,24.3326,0.10254,1.8157,4.72944,10.7876,19.6537,24.0761,20.3206,11.3334,5.05415,1.92968,0.197062,0.348037,2.13383,3.41159,13.3823,22.5955,7.93137,22.6582,21.4828,5.36164,0.694818,0,flat
26.8283,1.7338,0,0.0151849,5.6972,34.2451,6.95277,0,0,1.70406,22.8236,0,0.398587,4.33019,14.5034,22.2867,24.8509,20.0611,10.1101,3.05621,0.397264,0.00550392,0.00639192,0.210704,3.93755,19.8121,24.1818,10.9918,21.999,15.1098,3.48435,0.264608,0.00192848,flat
23.2499,1.03178,0.0168645,0.0551268,4.82453,40.8825,3.72096,0.0124929,0,1.39251,24.8133,0.0598374,0.761206,4.23928,11.7026,21.7853,24.2746,20.496,12.0047,3.93038,0.69988,0.046257,0,0.255095,3.31417,15.5387,21.9307,12.2984,29.7645,13.9338,2.54677,0.415695,0.00222496,flat
23.7027,1.48253,0.00443021,0.00899529,5.97979,38.4354,4.81448,0,0.0115505,1.77951,23.7806,0.0463179,0.680214,3.37822,9.18085,20.8816,27.8861,22.8396,11.1522,3.00748,0.790628,0.156752,0.00825553,0.806491,3.40702,14.374,22.4807,12.2028,29.6001,12.5036,3.73027,0.863751,0.0231392,flat
20.1646,2.01424,0.00288173,0.00819833,5.79955,36.5949,7.02413,0.00886994,0,2.65739,25.7252,0.0305793,0.882079,3.49446,11.0136,21.0424,25.7213,22.2615,11.0276,3.72991,0.782973,0.013625,0,0.435087,4.28976,15.5837,22.6283,9.15803,23.128,19.3597,5.03551,0.378477,0.00343875,flat
20.0892,0.944949,0,0.0171983,4.85948,42.6075,2.68745,0,0,0.766562,28.0277,0,0.629565,2.45881,11.0853,19.2817,29.3295,22.9256,11.0065,2.27843,0.801935,0.202717,0,0.162874,1.31184,10.914,26.6796,13.3074,31.4172,13.6874,2.07985,0.3932,0.046685,flat
22.147,2.1788,0.00471087,0.0057572,6.50534,38.5897,3.37846,0.0142079,0.00324407,2.68592,24.4868,0.228305,1.12069,6.21114,14.0837,20.2182,22.6024,19.5565,10.0137,4.5371,1.06602,0.362311,0.0509289,0.892293,2.92084,12.2943,24.5818,11.9278,27.2928,15.8704,3.11734,0.987146,0.0643167,flat
20.8321,1.86467,0,0.050826,5.51717,36.6115,6.66342,0.0129243,0,2.43529,26.0121,0.111253,1.31667,4.00513,12.6007,17.468,25.1607,20.3628,12.5747,4.62926,1.55954,0.211054,0,0.331616,2.64307,14.9025,24.0874,9.28081,22.7653,21.2471,4.29468,0.437058,0.0104346,flat
21.1104,2.42788,0.00319265,0,3.71492,38.5989,6.36464,0.00319265,0,1.42315,26.3537,0.265062,1.19681,4.13996,12.4346,20.2684,25.1197,20.7708,10.8233,3.85716,0.87479,0.249465,0.015611,0.73262,4.9989,14.2614,23.0678,11.0938,30.8259,12.9758,1.85924,0.169024,0,flat
21.8406,1.20999,0.0450807,0.132619,5.77605,35.9545,7.52664,0.0260739,0.0758162,1.40818,26.0044,0.112217,0.697677,4.73226,13.178,18.6381,24.0294,20.5102,11.9946,4.70029,1.21369,0.193645,0,0.324423,2.71143,15.2632,23.4101,12.8236,25.0639,15.8243,4.2651,0.313989,0,flat
19.6285,0.949597,0,0.0872099,8.43361,38.7033,3.62829,0,0,3.18658,25.383,0.165061,1.47374,5.39777,12.862,20.326,24.2685,19.4212,10.1758,3.6723,2.00254,0.235144,0,0.119075,1.30709,10.9706,24.6985,9.7506,29.7512,16.7531,5.65065,0.999098,0,flat
19.8939,1.58775,0.00517804,0.00226526,4.72212,41.3436,3.50726,0.00517804,0.0115392,1.69756,27.2236,0.0474887,0.896389,3.9715,12.3749,22.8434,26.5556,18.3068,10.5755,3.56581,0.792447,0.0701367,0.0033195,0.257247,3.43615,10.9985,22.8659,12.3072,30.9917,15.5007,2.92602,0.689047,0.0243281,flat
26.7273,2.99278,0,0.143907,5.37972,35.0091,8.53236,0,0,2.46679,18.748,0.0196472,1.45002,6.04762,14.8316,21.8666,18.8502,17.7961,11.8984,5.81896,1.21062,0.210262,0.0194776,0.973915,5.28057,20.4265,26.7767,7.87071,20.3313,14.825,3.13057,0.365211,0,flat
23.3716,1.96257,0,0.00182167,3.65967,40.3806,5.51312,0,0.00747192,1.04279,24.0604,0.104847,0.787218,4.05758,10.6327,20.7505,26.8394,20.8285,10.7833,4.4767,0.601235,0.138017,0,0.466611,3.82746,13.6769,26.34,14.0288,26.4666,12.912,2.0785,0.203147,0,flat
21.1804,8.79346,0.995222,0.225608,4.97382,32.1267,12.5784,0.358526,0.292928,3.259,15.216,1.12208,7.05857,5.33184,9.63631,13.7318,18.0866,17.388,11.8081,9.64269,4.19341,2.00067,1.00585,7.4014,12.0149,18.9015,19.915,6.64269,15.5818,12.9924,4.36583,0.913597,0.264941,flat
22.3298,5.26429,0.0983722,0.0575549,5.98242,37.4052,7.02085,0.212998,0.392823,2.6413,18.5943,0.479915,2.61779,5.52458,9.82377,17.6511,22.3117,18.0924,13.3815,6.72687,2.63702,0.753409,0.100067,1.78148,8.18442,18.8709,25.0501,6.73925,20.6285,13.4016,4.07801,1.14092,0.0247547,flat
20.605,2.93632,0,0.015399,7.48452,35.5551,6.1914,0.177878,0,1.58471,25.4497,0.0787476,1.07501,5.12836,11.4434,19.6332,25.2021,20.0146,11.7638,4.80774,0.853101,0,0,0.0944467,6.49615,12.4914,21.6347,9.1791,23.931,21.6968,4.12425,0.352087,0,flat
23.0751,4.43783,0.279368,0,4.94781,34.7448,11.0821,0.177286,0,2.15535,19.1004,0.229599,2.46186,7.32164,10.5136,17.5084,21.7012,18.6223,12.412,5.88651,3.21454,0.128331,0,2.34091,10.7514,16.8327,22.6953,9.56441,20.7807,13.4332,2.74275,0.73526,0.123326,flat
17.7893,1.98547,0,0.00657968,6.26255,39.7656,4.21879,0,0,1.54991,28.4218,0.0588953,0.713383,3.22817,10.6542,22.984,28.0651,20.5749,9.59952,3.43208,0.638798,0.0508586,0.0127806,0.380328,3.72489,9.53828,23.2942,12.0619,29.3251,18.179,3.35319,0.127752,0.00264081,flat
24.3604,0.898038,0.00411722,0,3.85748,42.9107,2.50994,0,0,0.637406,24.8219,0,0.166793,2.48232,12.3977,21.583,28.7947,22.8598,8.49782,2.49485,0.713668,0.00939507,0.00223601,0.295379,1.50271,11.0218,28.2693,12.6518,30,14.0298,2.01411,0.204217,0.0086074,flat
19.5607,2.801,0.0933333,0,10.875,32.3451,5.58009,0,0.034798,5.30014,23.4099,0.21436,2.07971,8.78532,13.7492,17.8518,20.235,16.0125,12.417,5.97769,1.61275,1.06466,0.0546466,1.45538,4.33278,13.9658,20.0491,6.15869,21.5122,21.8989,6.90416,3.42689,0.241364,flat
20.6041,2.83655,0,0.0752356,7.41953,37.1794,5.22087,0,0,6.88089,19.7834,0.110843,1.48677,5.74011,13.9128,18.1685,20.5709,17.4233,12.485,7.27919,2.56132,0.261181,0,0.642546,5.01129,16.7364,21.0901,7.4617,19.7133,18.2829,8.99742,1.9313,0.133067,flat
24.677,4.42147,0.0367688,0.0381447,3.99996,37.9708,7.13395,0.0686021,0.0445878,2.67695,18.9318,0.210621,1.81656,4.89925,12.9949,18.3162,21.2973,20.9714,12.7071,5.39226,1.1998,0.194513,0,1.41965,5.3903,20.7366,25.5031,9.37771,20.457,13.2454,3.39073,0.437132,0.0423734,flat
