@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
24.9342,8.34001,4.10537,7.48783,18.5099,21.8649,7.71989,1.75708,0.94602,1.95292,2.38189,26.1631,5.34933,4.26628,7.50962,9.27872,9.0693,8.1288,8.6867,6.88805,5.98404,8.67607,15.1058,9.25807,5.65008,10.01,6.41537,4.0175,8.73783,11.3721,14.7814,10.3413,4.31052,bump
28.1964,1.68757,0.381832,1.89055,7.24216,26.7538,8.20435,4.0833,0.0287873,6.86753,14.6638,19.658,12.2871,9.36997,4.92735,5.55498,7.35922,5.86389,4.55079,8.57152,12.1161,9.74107,6.07518,6.42242,5.49597,10.2579,7.18714,5.46659,6.4223,4.78498,11.8415,21.9323,14.1137,bump
10.8053,4.0622,2.61032,4.2123,11.8724,16.7243,12.6298,8.78443,7.24207,11.5264,9.5304,21.0051,12.251,6.69657,5.39809,7.43558,4.86068,5.68781,8.00802,4.42689,10.4944,13.7359,22.7318,12.7432,6.35638,9.33795,3.43626,2.64856,4.2333,6.40938,8.968,11.6818,11.4533,bump
32.9547,3.11196,0.881016,1.1849,11.7891,17.7586,12.0714,5.73154,1.58424,5.95148,6.98101,23.7731,12.7893,7.80323,14.5535,13.1574,6.43544,6.45479,4.64701,4.58595,2.94963,2.85064,13.4214,8.87437,10.2655,20.657,11.6378,3.12776,4.95661,8.45146,7.5538,8.18678,2.86755,bump
5.30335,3.49005,7.71609,10.7535,15.7678,22.7152,11.4177,8.93597,6.62325,3.79145,3.4856,12.4031,10.0298,8.84436,7.53813,8.37893,7.62226,7.60888,7.9465,9.94556,9.02309,10.6594,17.2912,11.2792,7.88225,5.09962,2.65028,1.13125,3.89276,6.85891,10.0095,15.4104,18.4946,bump
8.07732,10.2629,5.01251,3.24762,14.8921,25.0816,13.8553,4.79595,4.36298,5.8767,4.53497,14.198,11.2444,8.38067,9.57281,9.50127,7.01507,9.78153,7.92956,5.13806,9.09814,8.14053,5.15846,12.968,16.4789,14.0027,8.47402,2.0821,8.13251,11.7202,11.175,5.68218,4.12587,bump
54.2827,3.12487,0,6.24975,3.24,31.0213,2.08137,0,0,0,0,54.2827,0,0,0,7.17812,12.4995,12.4995,0,3.35231,1.85675,8.33111,63.6573,1.15581,0,3.12487,3.12487,6.24975,1.04068,12.4995,4.05325,0,5.09393,bump
36.8378,0.837305,0,0,0,35.5571,0,0,0,0,26.7678,48.8431,14.0609,0,0,1.5389,15.3764,0,8.3853,10.9321,0.863198,0,3.54224,3.6945,12.571,6.37229,11.0312,23.8776,5.1787,16.1905,17.542,0,0,bump
3.13624,11.8413,8.30173,2.44273,13.8719,26.9208,20.1615,7.88584,2.3728,1.00344,2.06171,5.82735,8.67634,11.2753,9.21302,6.41249,7.9549,7.61438,9.02557,7.96996,14.5302,11.5004,14.5348,21.1874,13.836,6.75644,8.14135,4.14495,3.62373,3.93864,5.10295,8.6975,10.0362,bump
9.62904,6.39167,6.90791,8.50713,12.2445,17.7873,11.2644,8.16451,6.29079,6.11711,6.69565,16.8998,11.1336,8.93802,7.91878,6.7794,6.59064,6.5367,6.87089,7.52331,9.27653,11.5323,17.3927,12.8329,9.99619,6.6611,3.22902,1.10521,3.6828,6.80545,9.86266,12.971,15.461,bump
73.0713,1.15022,1.54553,2.88298,4.41922,7.94893,3.92045,1.6545,1.1199,1.17373,1.11327,74.5544,1.79749,2.21947,2.55199,2.80379,3.28454,2.07753,1.76152,2.16997,3.10951,3.66985,71.9851,3.21556,3.00568,2.47302,2.03575,0.955821,2.02072,2.97831,3.75731,4.00006,3.57271,bump
17.9579,3.34147,0.276361,0.268691,5.7589,34.2915,6.92308,0.431598,0.340319,1.76808,28.6421,3.88205,2.96198,4.23218,7.74116,18.6201,25.0643,19.2506,11.2656,3.00878,2.56918,1.40401,0.21064,3.19148,4.83176,7.82737,19.4969,13.0585,36.7641,10.7837,2.32359,1.24568,0.266278,bump
90.2023,0.598904,0.0979445,0.579495,1.33536,3.79457,0.93528,0.503214,0.115015,0.619569,1.2183,91.4108,1.48963,0.344991,0.317497,0.695199,1.15351,0.889001,0.71411,1.05289,0.673646,1.2587,85.2242,1.92427,1.35633,1.96162,1.3494,0.612332,1.44221,1.65716,1.7746,1.5746,1.12323,bump
96.4048,0.101936,0.0617198,0.100365,0.486545,1.29108,0.708413,0,0.0126021,0.205801,0.626755,96.3286,0.230587,0.423974,0.439599,0.531738,0.833365,0.596922,0.188424,0.214515,0.126231,0.0860171,95.6268,0.191406,0.294563,0.478033,0.815062,0.327395,0.55196,0.554954,0.674971,0.294597,0.190211,bump
0,0,0,6.84053,64.2167,18.8223,9.61035,0,0,0,0.510103,5.39819,2.32669,9.23993,14.0114,19.2489,6.72226,16.4395,19.97,6.13307,0,0.510103,0,0.510103,7.41787,1.10503,2.32669,1.17774,9.23829,35.7609,18.1477,20.3681,3.94756,bump
10.1241,5.95453,4.73741,5.64269,9.49519,22.0382,11.8146,6.76607,6.11691,6.92434,10.386,13.4084,8.62807,7.58288,8.31117,8.9222,9.00366,9.47676,9.45115,8.71027,7.75519,8.75024,7.67614,12.115,10.2087,11.9041,12.034,3.94941,7.82495,11.2276,8.96542,7.82913,6.26549,bump
9.35462,2.70191,4.25288,8.09871,15.7578,24.4792,15.9408,8.77374,4.61098,3.20902,2.82033,17.9398,8.11487,7.50803,7.07909,7.18055,7.31781,7.33702,7.9532,8.00738,8.94127,12.621,15.8385,11.3796,10.5984,9.22472,5.18964,1.89276,5.21658,8.96395,10.282,10.872,10.5419,bump
100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,bump
19.1021,2.55408,1.86296,7.55801,12.4813,25.1816,10.9677,9.62241,4.7041,3.66293,2.30269,26.7216,6.78066,5.12632,6.56609,6.59691,11.7288,3.48121,4.94921,6.39164,9.79686,11.8606,24.1405,10.8845,8.94861,8.2277,6.6789,5.36722,6.80077,6.60919,5.73954,11.504,5.09909,bump
11.0414,5.34018,5.54266,6.47915,13.8251,20.041,11.2673,7.08784,5.68933,6.83629,6.84975,17.8935,8.93281,7.92584,7.38896,7.18353,7.30079,7.94094,7.36852,7.48028,9.53562,11.0492,9.64128,9.48943,8.69184,8.82684,5.55062,1.82488,5.70826,8.30066,11.4071,13.9923,16.5669,bump
5.7743,3.76704,6.24927,7.7105,13.821,23.8445,15.7414,10.6195,5.72491,3.29995,3.44772,21.5406,11.9466,8.97406,7.92594,6.65309,6.42817,5.91168,6.26906,6.33133,7.4016,10.6179,14.8098,13.1707,12.4514,9.19326,4.63755,1.31867,4.87962,7.22518,8.73567,10.4441,13.134,bump
