@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
11.8845,7.38842,5.80233,5.64748,9.05722,19.1429,13.2027,8.01077,6.80905,5.79989,7.2548,14.7366,8.35457,7.56113,7.47587,7.86652,7.57007,7.22841,8.01475,7.65682,9.38699,14.1483,13.2587,15.0851,13.4835,10.5224,5.57991,1.62258,4.67852,7.72482,9.07798,9.43391,9.53263,bump
14.561,2.80858,4.64028,8.59372,16.0749,30.8593,7.41077,2.16971,3.40061,4.39011,5.09102,17.6921,5.26735,5.60444,6.83844,7.98776,11.8093,9.43002,9.67604,6.33554,7.59743,11.7615,6.54706,3.2171,5.20201,7.041,8.45367,4.41986,12.7418,16.087,12.4282,11.4164,12.446,bump
57.8947,2.97605,3.10709,3.58986,5.49223,9.54715,5.62342,2.79817,2.29159,2.93154,3.74822,61.1328,4.30841,4.1204,3.29282,3.29936,3.19724,3.08566,3.59199,3.78127,4.5722,5.61786,58.2509,5.37359,4.76239,4.42057,2.82494,0.999517,2.87409,4.82327,5.61308,5.3889,4.66873,bump
46.8376,2.27455,1.49911,2.80821,6.84632,15.6348,5.21484,6.84955,0.932889,4.45371,6.64836,43.3432,5.16051,5.13745,4.61195,5.57418,8.3119,4.99221,2.9045,2.6986,4.35149,12.914,26.8464,10.4689,7.38716,5.89327,3.25543,4.62663,2.68793,4.23076,8.90016,8.14013,17.5632,bump
39.3125,4.92994,3.34977,3.94098,8.69085,11.2977,6.69371,3.47502,2.76473,7.01878,8.52601,43.9366,8.07666,7.57167,5.99715,3.29207,9.15634,6.67192,3.2535,2.82174,3.72042,5.50189,18.9384,13.0483,11.5473,8.5197,2.34332,3.9614,5.48582,11.7748,11.2574,6.49395,6.62959,bump
39.8452,0.310101,0.147767,0.290177,16.9871,33.9592,1.87505,0,3.68746,1.6503,1.24761,42.8911,1.10067,0.0918701,9.6803,1.07359,5.45504,5.15446,2.11458,0.183413,2.51162,29.7434,13.6353,0,0.712272,5.53681,9.90182,10.1379,6.14222,11.2867,18.146,12.7911,11.7099,bump
18.0059,3.40244,1.83631,2.45467,4.85288,18.1404,24.5839,18.2314,3.41526,2.04036,3.03646,26.3789,8.7536,5.95587,7.33068,9.06652,9.31945,12.3573,8.76363,6.9046,3.36528,1.80414,8.79436,14.5564,24.0767,17.4628,8.13274,4.20004,7.36823,6.92376,2.53875,1.9996,3.94654,bump
9.36181,5.62574,7.82677,9.15073,12.1267,17.8937,12.5034,9.02978,6.48005,5.09974,4.90157,15.5775,9.75972,8.92595,7.56939,6.96575,6.50692,7.21828,7.5777,8.38883,9.61008,11.8999,18.7532,12.0622,8.23216,5.58767,3.00599,0.741698,2.84956,5.15881,8.71705,13.6526,21.2391,bump
21.0313,5.68958,4.99895,7.88846,10.0532,17.6425,11.4418,6.66453,5.02143,4.42228,5.14597,23.3583,7.29969,6.59073,5.28412,5.39714,5.10974,6.45198,7.66121,8.15602,11.0919,13.5992,20.4037,12.9922,9.93026,6.408,4.20246,1.71123,4.26722,5.96231,8.20835,11.9727,13.9415,bump
75.1316,1.90847,1.13002,0.625512,3.24417,7.29717,1.37801,0.645417,1.17045,3.7662,3.70301,75.1407,1.53077,2.29994,2.51624,2.24103,3.41349,3.32626,2.97314,2.4675,1.53214,2.5588,58.9974,2.30924,2.94323,4.04844,7.18646,4.43482,5.32016,5.62363,4.09506,2.46261,2.57899,bump
