@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
0.478291,0.988422,0.858075,0.981865,8.03526,52.912,34.0241,1.29331,0.115348,0.15515,0.15825,2.47643,2.34878,7.61849,8.50829,22.7441,25.0521,14.9187,8.41019,5.06352,2.56182,0.297663,1.80381,1.11249,5.52071,30.1035,27.5977,7.22069,15.2793,7.51932,2.36274,0.778823,0.700944,bump
1.34996,1.03315,1.72573,4.44611,21.688,66.7616,1.19171,0.0748417,1.35374,0.0328955,0.342299,3.52579,1.16616,1.51527,1.25222,11.7804,52.7204,13.8665,5.08116,3.01501,1.06043,5.01663,0.0547019,0.156026,6.48909,1.8458,15.8013,18.5979,17.9863,12.2763,18.43,7.24837,1.11414,bump
10.9007,1.06349,0.126862,0.325756,6.40488,65.022,3.356,1.25577,0.234221,1.75214,9.55814,3.22919,1.08522,3.72741,10.8359,28.8951,18.6908,20.6267,8.46801,2.36945,0.921838,1.15037,1.27864,0.471058,1.84881,12.6602,26.1946,11.3551,25.6685,17.1978,2.35856,0.38746,0.579338,bump
0.464146,0.447587,0.0154251,4.1868,29.25,59.2415,2.65981,0.323429,0.00553101,0.225193,3.18063,0.149325,1.00856,3.30372,4.97214,16.7636,40.6311,18.5878,8.93888,4.17792,1.0391,0.427888,0.457519,0.468937,1.00862,4.79143,17.4968,17.9382,19.3078,18.9032,12.879,5.34448,1.40398,bump
2.60208,2.55032,0.625444,0.107911,7.01221,48.2434,30.4687,3.81756,0.524699,1.35788,2.68984,2.35992,8.68465,11.6281,14.2352,18.2118,18.4166,14.553,6.58481,3.80814,1.45039,0.0674014,6.73112,22.7544,16.7671,14.2196,7.87979,2.20707,7.10773,12.5941,6.92811,1.97733,0.833624,bump
2.90639,4.19738,0.4355,1.4988,15.0527,57.9308,15.5576,1.15414,0.207496,0.311236,0.748034,0.467939,3.11383,3.32114,5.47697,10.2381,14.1435,17.269,17.9772,16.3194,9.61288,2.06007,2.50382,7.34914,5.67587,13.6518,19.5567,15.2811,5.54304,5.7979,10.78,9.92059,3.94002,bump
6.43048,2.4531,0.517241,0.914236,25.0077,47.3778,6.92874,0.576208,0.504856,4.25292,5.03676,1.7433,3.77785,7.34793,13.0279,18.9431,21.4536,12.7514,9.3804,6.90299,3.65068,1.02095,1.15676,1.60328,5.63454,12.4042,14.1566,7.5829,14.8132,17.1917,19.2661,5.59136,0.599365,bump
0.12429,0.100692,0.018455,0.206237,14.8214,74.4221,8.96232,0.143157,0.103747,0.517365,0.580316,0.271434,0.334584,3.28065,15.0483,24.6577,24.4011,17.7465,8.92636,2.87837,2.38489,0.0701561,0.107189,0.58238,2.16783,10.5105,20.8531,10.3025,33.4141,18.8879,2.11841,0.674638,0.381584,bump
5.50916,9.23958,2.79228,1.75517,24.0142,40.0516,1.5451,0.0433934,2.37006,6.10545,6.57396,0.462564,5.30369,7.46196,12.1744,19.3928,22.4447,13.9548,7.80523,6.2231,4.27605,0.500719,0.11314,2.03096,7.93673,8.37864,7.17612,8.50029,21.8137,20.2201,18.1036,5.31491,0.411832,bump
0.0176839,0.000276277,0,0.00509197,6.83043,87.6834,5.4397,0.0114952,0.00626797,0.00463238,0.00112057,0.0189882,0.0595332,1.38274,11.207,28.7555,43.8093,12.3641,1.9892,0.30712,0.0941053,0.0123458,0.0415679,0.26811,0.639265,6.35018,25.4617,26.2169,34.0648,6.32301,0.462047,0.108886,0.0635823,bump
9.93574,7.97824,3.51605,8.35917,10.0242,19.572,18.7613,6.15975,5.36474,3.99548,6.33333,4.77985,7.97429,7.35701,5.9553,6.38219,7.8246,8.07363,7.8407,7.77964,9.24859,26.7842,2.89291,8.03404,15.5183,19.7904,8.80326,2.71003,11.2395,8.9071,8.95434,5.09626,8.05379,bump
1.80433,1.72833,0.306028,0.335924,9.2666,67.6308,9.61491,2.2214,0.703378,2.4716,3.91674,2.40894,2.08768,2.12522,8.76909,15.7273,29.5815,16.5154,7.29193,6.21585,5.09156,4.18546,0.250959,4.09553,8.3275,7.42469,15.2649,10.3987,31.0777,5.92083,8.26408,8.57011,0.405042,bump
9.21559,10.4271,0.237703,0.125537,6.37919,35.983,11.5542,1.06591,1.23811,16.0212,7.75242,5.40521,1.39717,4.56052,8.20577,11.234,16.2202,11.7616,5.80208,12.1558,19.0668,4.19096,3.26873,1.48512,9.04417,20.8569,14.1377,3.98894,12.4798,15.3074,11.9071,5.21952,2.30469,bump

