@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
36.6703,3.61693,1.86755,2.52135,4.85211,21.8677,6.60455,3.33938,2.32901,4.28421,12.047,25.6899,4.81551,5.52012,8.26457,10.5721,11.8959,11.7418,8.12479,5.30795,4.91391,3.15343,12.234,4.99774,10.7784,9.49008,14.8941,7.10175,11.4312,8.58691,8.66308,7.50595,4.31674,bump
35.9617,5.36118,4.41433,5.79669,11.4008,15.5164,5.88174,2.76712,3.0745,2.35541,7.47013,39.9694,5.11964,5.68789,4.50429,6.15582,6.87871,6.89668,4.9414,4.74432,4.28002,10.8218,23.4348,6.60505,7.6029,8.94006,4.1403,2.87705,9.49347,10.7425,11.5067,9.02469,5.63251,bump
52.8279,2.37324,0.972382,2.51716,6.18433,17.3027,6.78527,1.69925,0.930758,1.81911,6.58785,43.4334,2.27908,4.76542,5.95432,8.74746,10.1032,8.02389,6.60801,4.33759,3.1189,2.62863,23.653,2.38556,2.69505,7.02899,22.6834,11.2085,12.962,10.4453,2.88055,2.02023,2.03734,bump
25.4469,1.97911,0.268358,0.198217,4.58746,37.1574,6.02522,0.428965,0.167111,2.02227,21.719,12.1872,1.81653,3.11685,7.66612,16.9803,30.1845,16.9687,6.2104,2.77512,1.35887,0.73534,6.29619,1.03443,4.69244,12.6032,19.9476,10.947,31.261,7.03292,4.6531,1.45385,0.0783874,bump
57.1957,1.83756,1.89759,0.771782,1.24715,21.3097,4.2505,2.01723,0.801832,0.889161,7.7818,49.5609,1.78975,1.49761,2.27866,7.67019,16.9207,7.16954,4.17392,2.58711,1.93645,4.41518,32.5624,3.44102,3.28975,5.24782,13.31,21.5756,13.8517,3.56694,0.942651,1.02685,1.18526,bump
58.6838,1.31332,0.907645,0.890607,3.05303,15.4547,5.90975,0.922876,1.62156,4.25925,6.98338,51.8872,3.54991,4.30644,4.53878,5.77779,8.68412,6.67033,4.185,3.71035,3.15022,3.53983,33.5475,2.71785,3.7959,8.60723,15.2269,7.35912,9.3679,6.58361,5.32285,4.68405,2.7871,bump
32.0455,1.18312,1.07327,1.54903,6.42353,37.9807,10.7513,0.42576,0.0676819,1.74943,6.75066,30.5267,1.05735,2.50418,8.81629,14.4037,22.677,11.8986,3.92972,1.86672,1.39763,0.922161,12.6746,1.11383,1.39861,7.14936,23.7376,14.9046,20.0848,11.2981,2.6285,3.3848,1.62512,bump
45.1168,5.21526,8.14587,1.06809,6.55517,10.3813,4.09074,4.22013,2.49935,5.29995,7.40742,48.6567,3.41417,3.47001,2.96123,4.67574,7.13539,4.5792,3.25035,5.57827,4.81536,11.4636,25.0482,6.57312,6.42843,6.66465,6.38596,3.52401,4.95743,10.1795,13.1563,9.54222,7.54016,bump
59.721,3.23375,2.49405,2.63057,4.32996,8.14584,3.55069,3.63599,7.71581,2.13477,2.40756,60.922,3.03289,1.33175,2.99513,2.48553,8.83379,2.20665,5.42754,1.74448,2.31955,8.70071,27.7901,6.58398,8.77008,3.5248,11.9769,16.7626,3.3914,4.84578,3.08386,3.18552,10.0849,bump
56.1365,3.01711,2.33743,2.85404,4.68459,8.06188,6.31757,4.22101,4.01016,4.58507,3.77462,57.5242,4.72276,4.18689,4.08959,3.07748,3.42483,3.56797,4.49053,3.23866,4.49936,7.17771,36.2155,9.17819,8.41375,7.27037,5.24963,2.55974,3.82795,5.25671,5.76461,8.5792,7.68432,bump
29.1971,2.14483,1.61184,5.20785,12.5305,23.2937,12.0435,5.99867,2.8351,2.50437,2.6325,34.6712,6.88999,6.83167,6.57533,6.94986,6.24895,5.03648,5.42767,5.55232,5.8126,10.0039,21.6305,7.20052,8.58458,8.26141,10.7248,4.96306,8.84785,7.541,7.23451,8.96092,6.05084,bump
64.3448,1.19808,3.13621,2.69744,4.13939,6.24549,3.39111,1.94742,2.04217,2.9184,7.93947,64.6015,3.35356,2.7888,2.32145,3.81,4.16186,4.49783,3.5206,2.51381,2.36709,6.06353,30.9276,7.55182,7.6349,6.43027,7.60471,6.24577,7.95437,8.79386,7.45969,6.41338,2.98362,bump
41.5905,3.47482,2.11969,0.881418,2.79949,28.6451,3.64994,2.77943,0.507132,1.23177,12.3207,28.0191,1.93248,3.49477,4.24306,12.4007,24.1742,13.2539,2.83753,2.18769,1.9486,5.50793,10.7417,3.8117,5.2183,7.891,25.8369,24.7293,15.1636,3.76076,2.20503,0.418983,0.222741,bump
31.2788,6.59352,5.28893,2.65989,8.89487,14.9544,12.6123,5.67857,2.89356,3.91403,5.23104,36.1234,4.94863,3.61353,5.90024,6.58485,6.10877,6.86078,5.72818,8.65026,6.13928,9.34208,19.2088,13.6654,12.35,10.0034,5.32395,3.80054,5.46828,5.31225,8.14184,6.45654,10.269,bump
74.6905,0.579503,0.0859429,0.126323,1.4352,13.3101,1.31118,0.347338,0.185988,0.849057,7.07887,68.274,0.210551,1.99367,3.19129,5.54151,10.0241,6.25002,2.33096,1.61218,0.283543,0.288191,53.5034,0.548541,2.55704,5.84804,8.80601,12.6478,9.55498,3.96715,1.80556,0.627903,0.133612,bump
59.7045,3.39275,3.9277,3.68083,3.37242,6.85363,3.62835,4.96106,2.47113,2.06548,5.94215,60.4776,3.04451,3.6753,3.02332,3.36413,5.42441,3.04286,1.99498,4.45241,4.40581,7.09465,39.576,10.355,7.2905,5.33978,5.42065,4.5964,4.13581,5.64697,5.80809,7.26835,4.56239,bump
25.4143,4.96814,3.16536,4.97469,10.9996,21.5855,10.4047,5.53501,3.67271,4.64953,4.63036,31.5996,8.80367,8.90777,8.44647,7.7125,7.39179,5.64701,5.02421,5.39104,4.91825,6.15772,19.3655,10.6633,9.37834,7.46049,7.17063,4.33298,6.65355,11.3105,9.31629,6.78835,7.5601,bump
22.3389,2.17503,2.27004,1.71567,7.48804,29.7081,9.45512,5.08453,5.66907,7.51262,6.58282,19.5695,3.79787,7.65059,9.3111,9.85266,7.98252,6.77769,6.39105,5.0622,7.38439,16.2205,19.4581,11.0011,6.60949,6.5137,4.939,5.45658,9.12586,10.4332,5.59885,8.221,12.6432,bump
42.0848,2.77064,2.65253,2.22633,3.16258,23.3022,3.41101,2.66212,1.80968,2.94531,12.9728,36.7206,2.32215,2.65897,2.99051,7.30303,17.1555,13.7922,3.09636,3.24507,2.96395,7.75161,17.5269,3.47162,3.91068,5.63453,17.2256,20.7265,17.1008,4.69892,3.18838,3.4225,3.09367,bump
14.0432,4.70163,5.18147,6.46963,9.89881,16.0066,11.7013,11.3356,8.5785,5.65471,6.42852,26.1648,6.34279,5.92304,6.47645,7.10095,7.76619,8.1733,7.73592,7.95704,7.81179,8.54778,20.4928,14.8102,11.7284,9.49382,6.09028,2.27321,5.5648,7.59533,7.38446,6.99565,7.5711,bump
47.4152,3.38643,3.12522,2.70996,4.43491,16.2696,4.32482,2.93829,1.83416,3.35634,10.205,47.0874,2.68759,3.22119,4.32082,6.64167,10.6942,8.08144,3.72264,3.31944,3.8661,6.35744,28.5993,3.33406,4.06734,7.35437,11.0139,10.2539,13.9397,6.05411,6.50729,4.05025,4.82582,bump
84.7897,0.706236,0.0460874,0,0.465428,8.07052,1.46032,0,0.0200351,0.567164,3.87447,82.9563,1.06197,0.988728,0.714334,0.956511,6.89762,1.35122,0.948981,0.60732,0.25517,3.2619,64.7778,2.11965,1.82782,1.5388,6.0767,8.24505,5.33995,2.23027,1.53648,2.14901,4.15842,bump
33.945,4.62813,1.8866,4.34005,11.9782,11.0963,8.19606,1.55797,2.22137,4.43879,15.7115,33.6342,4.28551,4.38575,5.78351,8.16086,9.51375,14.3339,5.74242,4.98238,4.02617,5.15163,16.5028,8.67028,4.54518,6.50839,3.69909,5.32794,10.9994,16.242,15.8714,6.09953,5.53401,bump
81.6306,0.842292,1.01614,2.75674,3.17554,3.94662,1.98964,1.45874,1.23308,1.22311,0.72752,83.2945,1.73329,1.75756,0.864094,1.37734,1.80364,1.11909,1.69734,0.993163,1.69478,3.66519,62.448,2.86567,3.47509,2.51618,2.45328,3.58604,2.64096,4.28295,3.72286,4.73619,7.27273,bump
97.0271,0.122195,0.122195,0,0,1.29796,0.167121,0.167121,0,0,1.09632,95.6324,0.167121,0,0.289316,0.24439,2.22024,0.334241,0.623557,0.24439,0,0.24439,83.2328,0,0.289316,0.366585,5.00062,9.63145,1.35703,0.122195,0,0,0,bump
39.4952,3.37978,3.3244,4.51159,6.35454,13.6145,9.98637,6.27685,3.92876,2.20879,6.91924,42.405,8.99702,6.6687,5.91121,6.63076,5.88214,6.12343,5.17119,4.11786,3.86283,4.22991,23.6128,6.29516,8.36168,6.74403,6.12074,2.22365,5.78916,6.05738,7.41078,10.2389,17.1456,bump
55.3086,0.180956,2.18855,4.35821,0.0934972,12.369,11.6915,4.47974,8.62639,0.122588,0.580951,66.9641,4.35855,1.14898,4.56075,0.175879,10.8471,0.146576,0.452008,0.149756,0.329206,10.8672,12.8541,12.9366,23.8849,22.4991,1.58959,6.31108,1.21207,0.228515,9.85774,6.45889,2.16737,bump
70.9534,0.232608,0,0,0.8073,14.6368,0.9133,0.0577051,0,0.870846,11.528,58.1994,0.28571,0.956094,0.947648,2.38618,13.0653,17.6269,3.41667,2.88274,0.0989945,0.13436,38.9132,0.0189801,0.780259,3.31735,14.4367,23.9993,13.9349,2.80174,1.79755,0,0,bump
40.8248,5.30887,4.74665,3.8492,4.75961,12.6552,5.16467,5.45316,6.02135,4.59417,6.6223,46.5735,6.45454,9.31785,5.72497,4.51042,4.47227,3.34261,3.52099,4.53412,5.28835,6.26038,23.8738,12.9024,11.7689,7.68012,3.57318,2.74254,6.46826,10.0727,8.1346,7.77072,5.01271,bump
63.2169,2.9587,2.37742,2.85425,5.92682,6.38403,2.28057,0.750648,0.940196,4.6305,7.67997,63.7618,6.38363,2.41387,2.29113,6.26548,3.97385,1.94797,3.7532,1.50414,2.7021,5.00285,27.9161,3.2713,9.10468,4.36805,6.73996,11.3044,12.2589,6.53011,6.71419,6.28385,5.50851,bump
44.4182,1.30786,0.668742,0.752661,5.77061,27.5251,4.36663,0.927351,0.740789,2.44217,11.0798,39.1292,1.79601,1.46608,6.47811,9.4704,17.6606,8.64208,4.65473,3.41469,2.64343,4.64466,28.3268,1.60449,1.57579,6.36085,16.7227,15.7293,16.3923,7.0081,3.11291,2.63144,0.535351,bump
85.816,0.899115,0.350803,0.232362,1.04929,4.19351,2.56772,0.339689,0.471261,1.16665,2.91359,84.2419,1.2271,1.16867,1.22699,2.75861,2.85205,2.26416,1.67997,1.1757,0.83682,0.568049,65.5827,1.68479,2.89223,2.45366,5.99022,6.99744,5.01003,3.57127,2.63988,2.20884,0.968919,bump
37.9553,5.18852,6.65043,5.11743,3.58666,11.0799,1.21774,5.53755,1.16685,0.82232,21.6773,33.9752,2.29088,3.58641,2.38492,3.14667,31.7805,9.51937,1.01799,3.7722,5.43382,3.09213,12.7854,4.73892,1.31464,1.58802,7.97976,16.5251,20.1198,5.80849,6.7989,8.46854,13.8724,bump
56.6504,0.457994,1.44869,0.677204,1.46405,23.6218,1.81799,0.402308,1.25295,0.531847,11.6748,46.4291,1.68655,2.28559,2.41108,10.6575,28.806,2.82797,1.33553,0.598124,1.62443,1.33812,22.8549,4.33205,3.4666,3.24077,7.10158,32.5406,8.15984,7.92674,4.3063,2.52415,3.54649,bump
58.1959,0.635126,1.16308,1.22614,2.6964,23.3765,0.793308,0.0884452,0.653721,1.06368,10.1076,49.4629,0.467834,0.924799,3.84931,13.6774,16.8552,8.79283,3.35789,0.481949,1.02123,1.10869,27.492,0.252938,0.579149,4.58281,14.5799,28.2779,15.7415,3.78202,2.68257,0.887459,1.14178,bump
69.2497,1.28861,1.94689,2.6227,2.5173,8.56179,5.05299,2.58818,2.84794,1.20875,2.11516,70.798,1.8855,2.59903,2.38225,2.6599,3.70616,2.84218,2.58797,2.18655,2.69659,5.65588,54.9134,7.43943,6.41618,4.93565,4.14724,3.20091,4.00409,3.54511,3.34611,3.56218,4.48965,bump
92.2068,0.434889,0.121857,0,0.759792,2.09565,0.734923,0.334709,0.0399655,0.0788649,3.19251,91.3971,0.0977686,0.385143,1.33044,1.63141,1.14586,2.49391,0.746626,0.207505,0.057803,0.506418,83.2302,0.381115,0.531681,0.938918,1.82848,6.2975,3.89372,2.00224,0.896086,0,0,bump
